protocol,packet_size,step_size,num_clients,pdr,throughput,average_delay,first_transmitted_packet_delay,global_first_packet_delay
HWMPProActive,512,25,1,100,51200,0.4753845345,8.845232,8.845232
HWMPHybridNearRoot,512,25,1,100,51200,0.4787522847,6.122809,6.122809
HWMPHybridFarRoot,512,25,1,98.97,50672.64,0.710238232696777,6.122809,6.122809
FLAME,512,25,1,99.02,50698.24,0.783735276812765,1001.860346,1001.860346
HWMPProActive,512,25,2,99.95,102348.8,2.18598181675838,5.088836,5.088836
HWMPHybridNearRoot,512,25,2,99.51,101898.24,2.41669019917596,5.468158,5.468158
HWMPHybridFarRoot,512,25,2,99.51,101898.24,2.5995604529193,3.619731,3.619731
FLAME,512,25,2,99.51,101898.24,2.55871095653703,10.074173,10.074173
HWMPProActive,512,25,3,99.6266666666667,153026.56,6.39265632170102,1006.113349,5.088836
HWMPHybridNearRoot,512,25,3,99.67,153093.12,3.11520824885455,9.787485,5.468158
HWMPHybridFarRoot,512,25,3,99.6733333333333,153098.24,4.48207793160993,11.902249,3.619731
FLAME,512,25,3,99.23,152417.28,3.08779546585374,5.358885,5.358885
HWMPProActive,512,50,1,96.58,49448.96,5.86643108448954,179.037172,179.037172
HWMPHybridNearRoot,512,50,1,99.21,50795.52,2.15886856264489,1.957561,1.957561
HWMPHybridFarRoot,512,50,1,80.27,41098.24,3.89607740650305,44.119073,44.119073
FLAME,512,50,1,98.9,50636.8,2.72983223063701,10.11952,10.11952
HWMPProActive,512,50,2,47.38,48517.12,4.14065757672014,3031.748565,3031.748565
HWMPHybridNearRoot,512,50,2,96.265,98575.36,9.69851300446684,3004.770455,1018.555198
HWMPHybridFarRoot,512,50,2,90.07,92231.68,8.99529210586211,3007.751779,33.354498
FLAME,512,50,2,98.405,100766.72,7.49482704115645,17.265568,10.11952
HWMPProActive,512,50,3,65.0266666666667,99880.96,6.35638875338323,126.884177,126.884177
HWMPHybridNearRoot,512,50,3,65.0533333333333,99921.92,4.07096577746465,3040.935878,29.40104
HWMPHybridFarRoot,512,50,3,93.1133333333333,143022.08,26.2370589274361,38.71436,38.71436
FLAME,512,50,3,95.94,147363.84,54.3371778671739,10.133456,10.133456
HWMPProActive,512,75,1,97.86,50104.32,4.04651750429185,2006.967471,2006.967471
HWMPHybridNearRoot,512,75,1,99.83,51112.96,2.64539219102474,49.200259,49.200259
HWMPHybridFarRoot,512,75,1,96.79,49556.48,3.04704335954127,2016.794353,2016.794353
FLAME,512,75,1,54.94,28129.28,16.1057785669822,501.990633,501.990633
HWMPProActive,512,75,2,99.14,101519.36,8.79100180583014,1007.078324,114.877648
HWMPHybridNearRoot,512,75,2,98.91,101283.84,5.64317424820544,2009.782809,25.229918
HWMPHybridFarRoot,512,75,2,97.115,99445.76,9.46186325402873,2010.464,2010.464
FLAME,512,75,2,59.91,61347.84,14.8491296773494,492.783884,492.783884
HWMPProActive,512,75,3,67.8233333333333,104176.64,50.2261986709097,316.778486,60.616683
HWMPHybridNearRoot,512,75,3,99.6966666666667,153134.08,11.8969838143703,74.105958,40.962751
HWMPHybridFarRoot,512,75,3,0,0,0,74.105958,0
FLAME,512,75,3,54.9733333333333,84439.04,5.70203460029105,16.338899,13.901928
HWMPProActive,512,100,1,4.53,2319.36,483.317322600442,77.666602,77.666602
HWMPHybridNearRoot,512,100,1,0,0,0,77.666602,0
HWMPHybridFarRoot,512,100,1,6.02,3082.24,391.666968677741,189.624772,189.624772
FLAME,512,100,1,38.13,19522.56,359.158307104118,3019.659266,3019.659266
HWMPProActive,512,100,2,0,0,0,3019.659266,0
HWMPHybridNearRoot,512,100,2,0,0,0,3019.659266,0
HWMPHybridFarRoot,512,100,2,17.55,17971.2,178.006642183761,18.477134,18.477134
FLAME,512,100,2,0,0,0,18.477134,0
HWMPProActive,512,100,3,0,0,0,18.477134,0
HWMPHybridNearRoot,512,100,3,0,0,0,18.477134,0
HWMPHybridFarRoot,512,100,3,23.4733333333333,36055.04,608.639347705907,466.985178,39.203728
FLAME,512,100,3,0,0,0,466.985178,0
HWMPProActive,1024,25,1,100,102400,0.8460722033,10.897232,10.897232
HWMPHybridNearRoot,1024,25,1,100,102400,0.8518292301,6.806809,6.806809
HWMPHybridFarRoot,1024,25,1,98.96,101335.04,1.02667331942199,6.806809,6.806809
FLAME,1024,25,1,99.02,101396.48,1.15856054069885,1002.544346,1002.544346
HWMPProActive,1024,25,2,99.935,204666.88,3.58310232576174,5.772836,5.772836
HWMPHybridNearRoot,1024,25,2,99.51,203796.48,3.72877039634208,6.268172,6.268172
HWMPHybridFarRoot,1024,25,2,99.445,203663.36,4.1913167535321,4.303731,4.303731
FLAME,1024,25,2,99.505,203786.24,4.1488206654942,10.758173,10.758173
HWMPProActive,1024,25,3,99.6233333333333,306042.88,8.05522831960384,1009.490721,5.772836
HWMPHybridNearRoot,1024,25,3,99.67,306186.24,5.92889675612856,10.592728,6.268172
HWMPHybridFarRoot,1024,25,3,99.2933333333333,305029.12,13.2117887355311,15.688621,4.303731
FLAME,1024,25,3,99.1966666666667,304732.16,5.16297478161229,6.042885,6.042885
HWMPProActive,1024,50,1,83.94,85954.56,37.6710815732666,94.96652,94.96652
HWMPHybridNearRoot,1024,50,1,91.1,93286.4,32.2197630293085,3.925227,3.925227
HWMPHybridFarRoot,1024,50,1,72.97,74721.28,33.3911531378649,192.381188,192.381188
FLAME,1024,50,1,68.74,70389.76,254.997775374745,15.148852,15.148852
HWMPProActive,1024,50,2,39.245,80373.76,31.3891796394445,3033.800565,3033.800565
HWMPHybridNearRoot,1024,50,2,89.52,183336.96,37.641865640639,1020.18353,1020.18353
HWMPHybridFarRoot,1024,50,2,78.27,160296.96,46.673156912738,36.712498,36.712498
FLAME,1024,50,2,76.435,156538.88,124.50126957212,24.183285,15.148852
HWMPProActive,1024,50,3,59.1266666666667,181637.12,30.5863437199797,128.252177,128.252177
HWMPHybridNearRoot,1024,50,3,32.69,100423.68,5.43942213072295,34.65388,34.65388
HWMPHybridFarRoot,1024,50,3,32.08,98549.76,8.95244025477972,40.08236,40.08236
FLAME,1024,50,3,70.64,217006.08,125.749727405908,14.475789,14.475789
HWMPProActive,1024,75,1,97.62,99962.88,5.78183928938742,2010.387471,2010.387471
HWMPHybridNearRoot,1024,75,1,99.73,102123.52,4.66168171914168,75.199309,75.199309
HWMPHybridFarRoot,1024,75,1,95.3,97587.2,4.98403379611752,2022.993353,2022.993353
FLAME,1024,75,1,10.13,10373.12,6.6060149733465,507.130633,507.130633
HWMPProActive,1024,75,2,95.41,195399.68,126.838461640027,1011.231221,119.665648
HWMPHybridNearRoot,1024,75,2,49.79,101969.92,3.77405363707572,34.62825,34.62825
HWMPHybridFarRoot,1024,75,2,92.89,190238.72,160.474554553343,2016.279,2016.279
FLAME,1024,75,2,57.665,118097.92,108.691245982485,1011.000209,1011.000209
HWMPProActive,1024,75,3,29.3033333333333,90019.84,794.661124462291,361.783125,188.218312
HWMPHybridNearRoot,1024,75,3,63.8966666666667,196290.56,650.969299741353,94.690216,82.930098
HWMPHybridFarRoot,1024,75,3,0,0,0,94.690216,0
FLAME,1024,75,3,53.4633333333333,164239.36,517.00434965428,39.833003,39.833003
HWMPProActive,1024,100,1,0.57,583.68,611.609526491228,774.975408,774.975408
HWMPHybridNearRoot,1024,100,1,0,0,0,774.975408,0
HWMPHybridFarRoot,1024,100,1,0.62,634.88,485.306019790323,457.169186,457.169186
FLAME,1024,100,1,6.23,6379.52,676.033542261637,192.415319,192.415319
HWMPProActive,1024,100,2,0,0,0,192.415319,0
HWMPHybridNearRoot,1024,100,2,0,0,0,192.415319,0
HWMPHybridFarRoot,1024,100,2,1.915,3921.92,824.306856342037,590.891512,590.891512
FLAME,1024,100,2,0,0,0,590.891512,0
HWMPProActive,1024,100,3,0,0,0,590.891512,0
HWMPHybridNearRoot,1024,100,3,0,0,0,590.891512,0
HWMPHybridFarRoot,1024,100,3,2.64333333333333,8120.32,659.073056828499,350.824273,97.108463
FLAME,1024,100,3,0,0,0,350.824273,0
HWMPProActive,1536,25,1,100,153600,1.2134547706,12.937232,12.937232
HWMPHybridNearRoot,1536,25,1,100,153600,1.2211740823,7.486809,7.486809
HWMPHybridFarRoot,1536,25,1,99.98,153569.28,1.67096700980196,7.486809,7.486809
FLAME,1536,25,1,99.02,152094.72,1.5312996735003,1003.224346,1003.224346
HWMPProActive,1536,25,2,99.92,306954.24,5.1444936616293,6.452836,6.452836
HWMPHybridNearRoot,1536,25,2,99.51,305694.72,5.33406564455834,7.407676,7.407676
HWMPHybridFarRoot,1536,25,2,99.5,305664,9.42005198356784,4.983731,4.983731
FLAME,1536,25,2,99.505,305679.36,5.88717519526657,11.438173,11.438173
HWMPProActive,1536,25,3,96.9133333333333,446576.64,34.1031081060054,2017.451233,6.452836
HWMPHybridNearRoot,1536,25,3,99.6666666666667,459264,8.42911624946488,14.82026,7.407676
